OBJECTID,ORIG_FID,Shape_Length,Z,Longitude,Latitude
442,18,0,269.9997242,-116.0242987,32.71850491
443,18,0,270.0213317,-116.0244027,32.71848118
444,18,0,269.992549,-116.0244986,32.71843607
445,18,0,270.009856,-116.0246013,32.71840706
446,18,0,270.0430611,-116.0247018,32.71837568
447,18,0,269.5365984,-116.0248075,32.71836604
448,18,0,269.3727498,-116.024844,32.71836255
449,19,0,289.9999999,-116.02375,32.72175663
450,19,0,289.9875687,-116.0237791,32.72185688
451,19,0,290.0040892,-116.0237563,32.72195762
452,19,0,290.054686,-116.0236821,32.72191897
453,19,0,289.9539318,-116.023717,32.72183383
454,19,0,289.9999999,-116.02375,32.72175663
455,20,0,260.0000007,-116.025787,32.72186605
456,20,0,260.1326895,-116.0256844,32.72188918
457,20,0,259.9960925,-116.0256408,32.72198646
458,20,0,260.0024845,-116.0255993,32.72208441
459,20,0,260.0004234,-116.0255432,32.72217528
460,20,0,259.9975293,-116.0254624,32.72223297
461,20,0,260.0296055,-116.0253655,32.72224419
462,20,0,259.9850932,-116.025271,32.72227753
463,20,0,259.9790924,-116.0251805,32.72233009
464,20,0,259.9998788,-116.0250935,32.72238912
465,20,0,259.9923563,-116.0249921,32.72242092
466,20,0,259.9702502,-116.0248961,32.7223942
467,20,0,260.0028231,-116.0248354,32.72231438
468,20,0,260.0006553,-116.0247851,32.7222212
469,20,0,260.0005037,-116.0247349,32.7221276
470,20,0,260.1759281,-116.0246592,32.72206397
471,20,0,259.8463597,-116.0246146,32.72214975
472,20,0,260.0111489,-116.0245794,32.72225042
473,20,0,259.9792877,-116.0245583,32.72235462
474,20,0,259.9982652,-116.0245328,32.72245842
475,20,0,260.0409539,-116.0245004,32.72256
476,20,0,259.9989715,-116.0244357,32.72264089
477,20,0,259.9979619,-116.0243468,32.72269979
478,20,0,260.0006555,-116.0242505,32.7227396
479,20,0,259.9834175,-116.0241444,32.72274224
480,20,0,259.9837372,-116.0240505,32.72278319
481,20,0,259.9989161,-116.0239967,32.72287316
482,20,0,259.9950185,-116.0239598,32.72297347
483,20,0,260.0033013,-116.0239263,32.72307495
484,20,0,260.0004187,-116.0238879,32.72317455
485,20,0,259.9952593,-116.0238497,32.72327434
486,20,0,260.0003011,-116.0238015,32.72336957
487,20,0,259.9990964,-116.0237568,32.72346669
488,20,0,260.0004075,-116.0237112,32.72356332
489,20,0,259.9954392,-116.023672,32.72366261
490,20,0,260.005737,-116.023599,32.72373954
491,20,0,259.9989872,-116.023504,32.72374644
492,20,0,259.9935352,-116.0234306,32.72367555
493,20,0,260.0032458,-116.0233824,32.72358022
494,20,0,259.9995671,-116.0233647,32.72347531
495,20,0,259.9971932,-116.0233469,32.72336997
496,20,0,259.9988622,-116.0233161,32.72326769
497,20,0,259.9947757,-116.0232766,32.7231684
498,20,0,259.9941713,-116.0232256,32.72307479
499,20,0,259.9888338,-116.0231595,32.7229918
500,20,0,260.0073945,-116.0230711,32.72293212
501,20,0,259.9896277,-116.0229737,32.72288909
502,20,0,259.9996846,-116.0228696,32.722877
503,20,0,259.9904446,-116.0227668,32.72290307
504,20,0,260.0192107,-116.0226688,32.72294571
505,20,0,259.952498,-116.0225729,32.72299032
506,20,0,260.0678187,-116.0224777,32.72302988
507,20,0,259.978612,-116.0224289,32.72301526
508,20,0,260.0571934,-116.0224837,32.7229321
509,20,0,259.9839664,-116.0225186,32.72283315
510,20,0,259.9999143,-116.0225471,32.72273026
511,20,0,259.9912317,-116.0225378,32.72262416
512,20,0,259.9992336,-116.0225048,32.72252255
513,20,0,260.0013589,-116.0224935,32.7224228
514,20,0,259.9999327,-116.0225488,32.72233328
515,20,0,259.9950788,-116.0226294,32.7222631
516,20,0,260.0228369,-116.0227107,32.72219398
517,20,0,260.0125411,-116.0227727,32.72210948
518,20,0,259.993109,-116.0227505,32.72201079
519,20,0,260.0103294,-116.0227081,32.72191284
520,20,0,260.0549613,-116.022754,32.72182755
521,20,0,260.0815097,-116.0228082,32.721739
522,20,0,260.0215419,-116.0227726,32.72169055
523,20,0,259.9764842,-116.0226662,32.72168575
524,20,0,259.999986,-116.0225613,32.72166664
525,20,0,260.0000706,-116.0224547,32.72166303
526,20,0,260.0084713,-116.0223495,32.72168163
527,20,0,259.9981767,-116.0222458,32.72170737
528,20,0,259.999393,-116.0221398,32.72171989
529,20,0,260.000286,-116.022033,32.72172327
530,20,0,260.003302,-116.0219263,32.72171859
531,20,0,259.9562539,-116.0218219,32.72169732
532,20,0,260.0134137,-116.0217447,32.72162706
533,20,0,259.9995837,-116.0217767,32.72152825
534,20,0,259.9998734,-116.021827,32.72143432
535,20,0,259.9960452,-116.0219067,32.72136306
536,20,0,259.9954222,-116.021982,32.72128758
537,20,0,260.0150149,-116.0220226,32.72119195
538,20,0,260.0033845,-116.0220256,32.72108541
539,20,0,260.0009934,-116.0219748,32.72099469
540,20,0,259.9943484,-116.0219136,32.72090713
541,20,0,259.9987734,-116.0219006,32.72080699
542,20,0,260.0233442,-116.0219598,32.72072194
543,20,0,259.933279,-116.0220553,32.7206865
544,20,0,260.1829671,-116.0221488,32.72072793
545,20,0,259.9702204,-116.0222545,32.72072455
546,20,0,259.9999174,-116.0223613,32.72072074
547,20,0,260.0865857,-116.0224669,32.72070674
548,20,0,260.0208643,-116.0225597,32.72065527
549,20,0,260.1080871,-116.0226639,32.72063222
550,20,0,259.9429212,-116.0226957,32.72057574
551,20,0,259.9590147,-116.0226039,32.72052329
552,20,0,259.9766728,-116.0225401,32.72044192
553,20,0,259.9997277,-116.0224557,32.72038117
554,20,0,260.0067428,-116.0223836,32.72030494
555,20,0,259.9945569,-116.0223495,32.72020486
556,20,0,260.0020298,-116.0223577,32.72010122
557,20,0,259.995471,-116.0223682,32.71999674
558,20,0,259.924142,-116.0223073,32.71998417
559,20,0,259.9908366,-116.0222017,32.71997879
560,20,0,260.0067305,-116.0220975,32.71999622
561,20,0,260.0034698,-116.0219937,32.72002032
562,20,0,260.0013885,-116.021887,32.72001598
563,20,0,259.9928551,-116.0217802,32.72001866
564,20,0,259.9937794,-116.0216735,32.72002116
565,20,0,259.9985018,-116.021567,32.7200245
566,20,0,259.9872165,-116.0214605,32.72003258
567,20,0,259.998155,-116.0213544,32.7200451
568,20,0,260.0015185,-116.0212574,32.72008849
569,20,0,259.9963355,-116.0211582,32.72012546
570,20,0,260.0019486,-116.0210666,32.72007232
571,20,0,259.9935735,-116.0210298,32.71997379
572,20,0,259.9947598,-116.0210418,32.71986877
573,20,0,259.9898034,-116.0210545,32.71976267
574,20,0,260.0098287,-116.0210774,32.71965833
575,20,0,260.0021265,-116.0211018,32.71955435
576,20,0,259.9878223,-116.0211328,32.71945314
577,20,0,259.9978383,-116.0211976,32.71936825
578,20,0,260.0115586,-116.0212687,32.71928936
579,20,0,260.005441,-116.0213581,32.719231
580,20,0,260.0005974,-116.0214453,32.71916922
581,20,0,259.9930687,-116.0215326,32.71910843
582,20,0,259.9973431,-116.0216275,32.71905985
583,20,0,259.9989991,-116.0217202,32.71900716
584,20,0,260.0104892,-116.0218187,32.7189659
585,20,0,259.9909133,-116.0219071,32.71890593
586,20,0,259.9803624,-116.0219876,32.71883605
