OBJECTID,ORIG_FID,Shape_Length,Shape_Area,Longitude,Latitude
308,1,0,0,-116.0078621,32.725847
309,1,0,0,-116.007649,32.72583044
310,1,0,0,-116.0074358,32.72581387
311,1,0,0,-116.0072227,32.72579731
312,1,0,0,-116.0070095,32.72578074
313,1,0,0,-116.0067964,32.72576418
314,1,0,0,-116.0065832,32.72574761
315,1,0,0,-116.0063701,32.72573105
316,1,0,0,-116.0061569,32.72571448
317,1,0,0,-116.0059438,32.72569792
318,1,0,0,-116.0057306,32.72568135
319,1,0,0,-116.0055175,32.72566514
320,1,0,0,-116.0053042,32.72564968
321,1,0,0,-116.005091,32.72563421
322,1,0,0,-116.0048778,32.72561875
323,1,0,0,-116.0046645,32.72560328
324,1,0,0,-116.0044513,32.72558782
325,1,0,0,-116.0042381,32.72557235
326,1,0,0,-116.0040248,32.72555689
327,1,0,0,-116.0038116,32.72554142
328,1,0,0,-116.0035984,32.72552596
329,1,0,0,-116.0033851,32.72551049
330,1,0,0,-116.0031719,32.72549503
331,1,0,0,-116.0029587,32.72547956
332,1,0,0,-116.0027454,32.7254641
333,1,0,0,-116.0025322,32.72544863
334,1,0,0,-116.002319,32.72543233
335,1,0,0,-116.0021059,32.725416
336,1,0,0,-116.0018927,32.72539967
337,1,0,0,-116.0016795,32.72538333
338,1,0,0,-116.0014663,32.725367
339,1,0,0,-116.0012532,32.72535067
340,1,0,0,-116.00104,32.72533434
341,1,0,0,-116.0008268,32.725318
